#,Asset Type,Product,ASSET TAG,Receiving date,Keyboard,SERIAL NUMBER,PO,MODEL,ERASED,CUSTOMER,CONDITION,DIAG,HARDWARE TYPE,CPU TYPE,CPU CORES,GPU CORES,MEMORY,HARDDRIVE,STATUS,CHARGER,INCLUDED,INVENTORY,country
235,APPLE,MacBook Pro 16  Apple,235,,EN,SLVVVHG3J6K,,A2991,COMPLETED,Abnormal Security,NEW,ADP000,MacBook Pro 16  Apple M3PRO 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD,M3PRO,12,18,36,512,,INCLUDED,,SHIPPED,Singapore
237,PC,ThinkPad T14 14  Gen 5,237,15-Oct-24,EN,SPF52HCCR,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U   -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U , ,,16,256,,INCLUDED,,SHIPPED,Singapore
238,PC,ThinkPad T14 14  Gen 5,238,15-Oct-24,EN,SPF52HARV,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
239,PC,ThinkPad T14 14  Gen 5,239,15-Oct-24,EN,SPF52HCGN,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
241,PC,ThinkPad T14 14  Gen 5,241,15-Oct-24,EN,SPF52HAQF,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
242,PC,ThinkPad T14 14  Gen 5,242,15-Oct-24,EN,SPF52HCF0,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
243,PC,ThinkPad T14 14  Gen 5,243,16-Oct-24,EN,SPF52EFH1,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
248,PC,ThinkPad T14 14  Gen 5,248,30-Oct-24,EN,SPF584TSN,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
249,PC,ThinkPad T14 14  Gen 5,249,30-Oct-24,EN,SPF584TT2,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, ,,16,256,,INCLUDED,,SHIPPED,Singapore
249,PC,ThinkPad T14 14  Gen 5,250,05-Nov-24,EN,PF502TAX,,ThinkPad T14,COMPLETED,Wise,NEW,NA,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU  -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, , ,16,256,,,,SHIPPED,Singapore
